Date,Time,SWR,RSSI(dB),RxBt(V),Cels(gRe),Tmp2(@C),RPM(rpm),Tmp1(@C),Rud,Ele,Thr,Ail,S1,S2,S3,LS,RS,SA,SB,SC,SD,SE,SF,SG,SH
2016-02-21,04:11:14.640,30,75,5.2,0.00,0,0,0,0,0,0,0,0,0,0,0,0,-1,-1,-1,-1,-1,-1,-1,-1
2016-02-21,04:11:14.840,30,75,5.2,0.00,0,0,0,0,0,0,0,0,0,0,0,0,-1,-1,-1,-1,-1,-1,-1,-1
2016-02-21,04:11:15.040,30,75,5.2,0.00,0,0,0,0,0,0,0,0,0,0,0,0,-1,-1,-1,-1,-1,-1,-1,-1
2016-02-21,04:11:15.240,30,75,5.2,0.00,0,0,0,0,0,0,0,0,0,0,0,0,-1,-1,-1,-1,-1,-1,-1,-1
2016-02-21,04:11:15.440,30,75,5.2,0.00,0,0,0,0,0,0,0,0,0,0,0,0,-1,-1,-1,-1,-1,-1,-1,-1
2016-02-21,04:11:15.640,30,75,5.2,0.00,0,0,0,0,0,0,0,0,0,0,0,0,-1,-1,-1,-1,-1,-1,-1,-1
2016-02-21,04:11:15.840,30,75,5.2,0.00,0,0,0,0,0,0,0,0,0,0,0,0,-1,-1,-1,-1,-1,-1,-1,-1
2016-02-21,04:11:16.040,30,75,5.2,0.00,0,0,0,0,0,0,0,0,0,0,0,0,-1,-1,-1,-1,-1,-1,-1,-1
2016-02-21,04:11:16.240,30,75,5.2,0.00,0,0,0,0,0,0,0,0,0,0,0,0,-1,-1,-1,-1,-1,-1,-1,-1
2016-02-21,04:11:16.450,30,75,5.2,0.00,0,0,0,0,0,0,0,0,0,0,0,0,-1,-1,-1,-1,-1,-1,-1,-1
2016-02-21,04:11:16.650,30,75,5.2,0.00,0,0,0,0,0,0,0,0,0,0,0,0,-1,-1,-1,-1,-1,-1,-1,-1
2016-02-21,04:11:16.850,30,75,5.2,0.00,0,0,0,0,0,0,0,0,0,0,0,0,-1,-1,-1,-1,-1,-1,-1,-1
2016-02-21,04:11:17.050,30,75,5.2,0.00,0,0,0,0,0,0,0,0,0,0,0,0,-1,-1,-1,-1,-1,-1,-1,-1
2016-02-21,04:11:17.250,30,75,5.2,0.00,0,0,0,0,0,0,0,0,0,0,0,0,-1,-1,-1,-1,-1,-1,-1,-1
2016-02-21,04:11:17.450,30,75,5.2,0.00,0,0,0,0,0,0,0,0,0,0,0,0,-1,-1,-1,-1,-1,-1,-1,-1
2016-02-21,04:11:17.650,30,75,5.2,0.00,0,0,0,0,0,0,0,0,0,0,0,0,-1,-1,-1,-1,-1,-1,-1,-1
2016-02-21,04:11:17.850,30,75,5.2,0.00,0,0,0,0,0,0,0,0,0,0,0,0,-1,-1,-1,-1,-1,-1,-1,-1
2016-02-21,04:11:18.050,30,75,5.2,0.00,0,0,0,0,0,0,0,0,0,0,0,0,-1,-1,-1,-1,-1,-1,-1,-1
2016-02-21,04:11:18.250,30,75,5.2,0.00,0,0,0,0,0,0,0,0,0,0,0,0,-1,-1,-1,-1,-1,-1,-1,-1
2016-02-21,04:11:18.440,30,75,5.2,0.00,0,0,0,0,0,0,0,0,0,0,0,0,-1,-1,-1,-1,-1,-1,-1,-1
2016-02-21,04:11:18.650,30,75,5.2,0.00,0,0,0,0,0,0,0,0,0,0,0,0,-1,-1,-1,-1,-1,-1,-1,-1
2016-02-21,04:11:18.850,30,75,5.2,0.00,0,0,0,0,0,0,0,0,0,0,0,0,-1,-1,-1,-1,-1,-1,-1,-1
2016-02-21,04:11:19.040,30,75,5.2,0.00,0,0,0,0,0,0,0,0,0,0,0,0,-1,-1,-1,-1,-1,-1,-1,-1
2016-02-21,04:11:19.250,30,75,5.2,0.00,0,0,0,0,0,0,0,0,0,0,0,0,-1,-1,-1,-1,-1,-1,-1,-1
2016-02-21,04:11:19.450,30,75,5.2,0.00,0,0,0,0,0,0,0,0,0,0,0,0,-1,-1,-1,-1,-1,-1,-1,-1
2016-02-21,04:11:19.650,30,75,5.2,0.00,0,0,0,0,0,0,0,0,0,0,0,0,-1,-1,-1,-1,-1,-1,-1,-1
2016-02-21,04:11:19.850,30,75,5.2,0.00,0,0,0,0,0,0,0,0,0,0,0,0,-1,-1,-1,-1,-1,-1,-1,-1
2016-02-21,04:11:20.050,30,75,5.2,0.00,0,0,0,0,0,0,0,0,0,0,0,0,-1,-1,-1,-1,-1,-1,-1,-1
2016-02-21,04:11:20.250,30,75,5.2,0.00,0,0,0,0,0,0,0,0,0,0,0,0,-1,-1,-1,-1,-1,-1,-1,-1
2016-02-21,04:11:20.450,30,75,5.2,0.00,0,0,0,0,0,0,0,0,0,0,0,0,-1,-1,-1,-1,-1,-1,-1,-1
2016-02-21,04:11:20.650,30,75,5.2,0.00,0,0,0,0,0,0,0,0,0,0,0,0,-1,-1,-1,-1,-1,-1,-1,-1
2016-02-21,04:11:20.850,30,75,5.2,0.00,0,0,0,0,0,0,0,0,0,0,0,0,-1,-1,-1,-1,-1,-1,-1,-1
